Designator	Val	Package	MidX	MidY	Rotation	Layer
C16	1uF	C_0402_1005Metric	-153.4922	-129.9462	135	bottom
C17	1uF	C_0402_1005Metric	-154.397389	-129.098789	135	bottom
C18	47uF	C_0805_2012Metric	-157.033049	-124.561049	135	bottom
C19	47uF	C_0805_2012Metric	-155.603049	-125.881049	135	bottom
C28	47uF	C_0805_2012Metric	-149.653049	-126.121049	135	bottom
C29	47uF	C_0805_2012Metric	-147.953049	-127.971049	-45	bottom
J1	PJ-320B	3.5mm_stereo_jack_PJ320B	-180.7686	-132.9526	90	bottom
J81	PJ-320B	3.5mm_stereo_jack_PJ320B	-175.8524	-59.92	180	bottom
J82	PJ-320B	3.5mm_stereo_jack_PJ320B	-153.1524	-59.92	180	bottom
J83	PJ-320B	3.5mm_stereo_jack_PJ320B	-119.8438	-132.6224	-90	bottom
R22	6K	R_0402_1005Metric	-157.894176	-127.652176	135	bottom
R23	6K	R_0402_1005Metric	-159.435424	-128.522176	45	bottom
R24	10K	R_0402_1005Metric	-153.854176	-124.353424	45	bottom
R25	10K	R_0402_1005Metric	-155.375424	-122.912176	-135	bottom
R26	100	R_0402_1005Metric	-151.861576	-128.340976	135	bottom
R27	100	R_0402_1005Metric	-152.750576	-127.477376	135	bottom
C1	0.1uF	C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	170.8024	-81.0425	90	top
C2	0.1uF	C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	159.70986	-80.68	90	top
C6	0.1uF	C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	178.9259	-93.528	0	top
C7	10uF	C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	178.9259	-91.228	0	top
C8	0.1uF	C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	174.9884	-89.128	0	top
C9	2.2uF	C_0402_1005Metric	149.469789	-132.774811	45	top
C10	2.2uF	C_0402_1005Metric	150.206389	-133.562211	45	top
C11	2.2uF	C_0402_1005Metric	150.968389	-134.349611	45	top
C12	2.2uF	C_0402_1005Metric	151.755789	-135.162411	45	top
C15	10uF	C_0402_1005Metric	154.385389	-133.952211	45	top
C20	10uF	C_0402_1005Metric	158.5722	-129.997	-135	top
C21	0.1uF	C_0402_1005Metric	159.292611	-130.724389	-135	top
C22	0.1uF	C_0402_1005Metric	159.401189	-127.650989	-135	top
C23	10uF	C_0402_1005Metric	147.214211	-126.763389	-135	top
C24	0.1uF	C_0402_1005Metric	148.735389	-128.292211	-135	top
C25	0.1uF	C_0402_1005Metric	147.935389	-127.542211	-135	top
C26	1uF	C_0402_1005Metric	163.068	-116.1032	0	top
C27	1uF	C_0402_1005Metric	163.5024	-121.869	0	top
C30	1uF	C_0402_1005Metric	167.894	-116.0833	0	top
C31	1uF	C_0402_1005Metric	168.8618	-121.7928	0	top
C32	10uF	C_0402_1005Metric	156.327789	-125.187189	-45	top
C33	0.1uF	C_0402_1005Metric	155.315389	-134.852211	45	top
C34	10uF	C_0402_1005Metric	157.521589	-126.247011	-135	top
C35	0.1uF	C_0402_1005Metric	158.410589	-127.059811	-135	top
C36	10uF	C_0402_1005Metric	146.364011	-130.260211	-45	top
C37	0.1uF	C_0402_1005Metric	145.456589	-131.156189	-45	top
C38	0.1uF	C_0402_1005Metric	155.489589	-126.076189	-45	top
D1	1N4148	SOD-123	152.07568	-76.6528	0	top
D2	LED	LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder	183.50986	-78.755	-90	top
J2	PJ-320B	3.5mm_stereo_jack_PJ320B	180.7144	-132.9272	-90	top
J31	Conn_01x14_Female	PinHeader_1x14_P2.54mm_Vertical	184.4024	-86.28	0	top
J32	Conn_01x14_Female	PinHeader_1x14_P2.54mm_Vertical	115.2024	-86.28	0	top
J70	USB_A	TE_292303-1	120.41986	-72.21	-90	top
J84	PJ-320B	3.5mm_stereo_jack_PJ320B	119.8248	-132.6278	90	top
R2	220	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	172.70986	-78.88	-90	top
R3	220	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	175.10986	-78.98	-90	top
R7	220	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	145.3248	-79.5528	-90	top
R8	470	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	161.90986	-80.68	-90	top
R10	68	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	185.90986	-78.68	-90	top
R12	10K	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	176.5884	-101.328	90	top
R14	10K	R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	176.8884	-95.628	0	top
R15	33R	R_0402_1005Metric	152.908	-123.139	135	top
R16	33R	R_0402_1005Metric	152.064776	-124.073776	135	top
R17	33R	R_0402_1005Metric	151.084176	-124.882176	135	top
R18	33R	R_0402_1005Metric	150.214176	-125.772176	135	top
R19	33R	R_0402_1005Metric	149.4536	-126.7458	135	top
R20	33R	R_0402_1005Metric	147.935424	-131.142176	-135	top
R21	33R	R_0402_1005Metric	148.735424	-131.942176	-135	top
U2	SN74LVC1G07DBVR	SOT-753	173.7024	-83.13	0	top
U3	H11L1S	IC_H11L1SM	152.9698	-82.2428	0	top
U5	ESP32-C3-WROOM-02	ESP32-C3-WROOM-02	165.1384	-100.478	180	top
U6	LP5907MFX-3.3	SOT-23-5	168.4046	-118.9789	-90	top
U7	LP5907MFX-1.8	SOT-23-5	163.543	-118.928602	-90	top
U8	SN74LV4052APWE4	SN74LV4052APWE4	145.9054	-90.177799	0	top
UNK1	TLV320AIC3204IRHBR	QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm	153.0858	-129.7176	-45	top
